Genus,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Thermomicrobium,0.009469697,0.149621212,0.010732323,0.106060606,0.008207071,0.126893939,0.130050505,0.150883838,0.075757576,0.123737374,0.034090909,0.005681818,0.004419192,0.006313131,0.001893939,0,0.003156566,0.000631313,0,0,0.000631313,0.001262626,0.003787879,0,0.001262626,0.002525253,0.001893939,0.003156566,0,0,0,0,0,0.001262626,0,0.000631313,0.000631313,0,0.003787879,0,0.001262626,0.006944444,0,0.003156566,0.004419192,0.002525253,0.002525253,0.001262626,0.001262626,0.001262626,0.000631313,0,0.001262626,0.000631313,0,0,0.001262626,0.003156566
Kingella,0.007081858,0.141637159,0.009789627,0.105811289,0.012497396,0.135180171,0.122266195,0.166007082,0.06915226,0.122266195,0.03561758,0.009789627,0.003124349,0.003540929,0.003332639,0.00083316,0.004790669,0.00041658,0,0.00041658,0.00020829,0.00020829,0.002291189,0,0.00124974,0.003332639,0.00166632,0.002291189,0,0,0.00020829,0.00020829,0,0.002082899,0.00020829,0,0.00020829,0.00124974,0.003124349,0.00020829,0.00020829,0.008748177,0.00145803,0.002082899,0.002916059,0.003749219,0.00083316,0.00041658,0.00124974,0.003124349,0,0,0.00124974,0.00104145,0.00020829,0,0.00020829,0.00020829
Alcaligenes,0.00967969,0.126011968,0.010031679,0.108236536,0.010383668,0.132699754,0.129883844,0.159098909,0.075677578,0.123196058,0.029919043,0.010383668,0.005103837,0.005983809,0.001583949,0.001055966,0.003343893,0.000175994,0.000351989,0,0.000351989,0.000527983,0.003167899,0.000351989,0.001407955,0.003343893,0.001583949,0.00404787,0,0,0,0.000175994,0,0.001407955,0,0.000175994,0,0.002463921,0.003519887,0.000175994,0.001759944,0.010031679,0.000527983,0.003167899,0.003871876,0.005103837,0.000703977,0.000351989,0.001055966,0.003871876,0,0.000175994,0.001935938,0.000351989,0.000175994,0.000351989,0,0.001055966
Bordetella,0.007451565,0.12414307,0.008941878,0.108494784,0.011922504,0.122801788,0.124441133,0.173323398,0.066915052,0.123845007,0.032488823,0.012369598,0.003576751,0.004918033,0.002235469,0.000894188,0.005067064,0.000298063,0.000298063,0.000447094,0.000745156,0.000745156,0.004321908,0,0.001043219,0.00461997,0.002831595,0.004918033,0.000298063,0.000149031,0,0.000596125,0,0.00119225,0.000149031,0.000298063,0.000149031,0.001043219,0.003576751,0.000447094,0.002086438,0.012071535,0.001341282,0.001937407,0.003576751,0.004321908,0.000596125,0.000894188,0.001043219,0.004470939,0,0.000298063,0.000745156,0.001043219,0.000298063,0.000298063,0.000596125,0.002384501
Acidiphilium,0.009100561,0.131958137,0.010768997,0.109055058,0.012285758,0.12346428,0.128469589,0.155012892,0.065372365,0.126194449,0.0297285,0.014257546,0.004246929,0.004550281,0.00303352,0.002426816,0.004246929,0.000303352,0.000606704,0.000151676,0.000303352,0.000455028,0.007128773,0.000303352,0.00151676,0.004550281,0.00151676,0.005156985,0.000151676,0,0.000151676,0.000455028,0,0.00151676,0,0,0.000151676,0.001365084,0.003185196,0,0.001061732,0.009707265,0.001213408,0.002730168,0.002578492,0.004853633,0.001365084,0.00151676,0.001668436,0.005308661,0,0.000303352,0.001061732,0.000910056,0.000151676,0,0.000606704,0.001820112
Acidocella,0.010279001,0.124082232,0.008810573,0.105726872,0.005139501,0.127753304,0.124082232,0.176945668,0.063142438,0.123348018,0.040381791,0.011013216,0.002202643,0.005873715,0.002202643,0.001468429,0.005139501,0,0.000734214,0.001468429,0.002202643,0.000734214,0.002936858,0.000734214,0.002936858,0.007342144,0.000734214,0.005139501,0.000734214,0.000734214,0,0,0,0.002202643,0,0,0,0.002202643,0.003671072,0,0.001468429,0.009544787,0,0.001468429,0.003671072,0.005139501,0.000734214,0,0.001468429,0.000734214,0,0.000734214,0,0.001468429,0,0,0,0.001468429
Ochrobactrum,0.008371385,0.130517504,0.014840183,0.106164384,0.014840183,0.122146119,0.132420091,0.149543379,0.075342466,0.123668189,0.02739726,0.015981735,0.002663623,0.005707763,0.00152207,0.001141553,0.002663623,0.000380518,0.000761035,0.000380518,0.000761035,0.000380518,0.003424658,0,0.001902588,0.00456621,0.00152207,0.003424658,0.000761035,0,0.000380518,0.000380518,0,0.002663623,0,0,0.000380518,0.00152207,0.00456621,0.000761035,0.000761035,0.01217656,0.001141553,0.001902588,0.003424658,0.004946728,0.001141553,0.001141553,0.000380518,0.005327245,0.000761035,0,0.000380518,0.001141553,0.000380518,0,0.000380518,0.000761035
Polaribacter,0.013278008,0.136099585,0.00746888,0.100414938,0.015767635,0.118672199,0.128630705,0.156016598,0.081327801,0.114522822,0.030705394,0.014107884,0.009128631,0.004149378,0.000829876,0.000829876,0.006639004,0,0,0,0,0.000829876,0.004149378,0,0.000829876,0.005809129,0.002489627,0.006639004,0,0,0.000829876,0,0,0.000829876,0,0,0,0.001659751,0.001659751,0.000829876,0.000829876,0.009958506,0.000829876,0.000829876,0.002489627,0.005809129,0.000829876,0.000829876,0.002489627,0.004979253,0,0.000829876,0.000829876,0,0,0,0.000829876,0.002489627
Beijerinckia,0.016505636,0.128824477,0.012882448,0.09863124,0.012077295,0.132850242,0.123993559,0.155797101,0.064814815,0.121980676,0.027777778,0.017713366,0.004428341,0.005233494,0.003220612,0.000805153,0.004830918,0.000402576,0,0,0.000805153,0,0.002012882,0.000402576,0.001610306,0.007246377,0.003220612,0.004428341,0.000805153,0,0,0,0,0.001610306,0,0,0.000402576,0.001610306,0.003220612,0.000402576,0.001610306,0.013687601,0.001207729,0.003623188,0.004428341,0.004428341,0.001610306,0.000402576,0.000402576,0.004025765,0,0.000402576,0.001610306,0.000402576,0.000402576,0.000402576,0,0.000805153
Chromobacterium,0.013304721,0.12832618,0.012875536,0.107296137,0.012017167,0.11416309,0.121459227,0.155364807,0.069957082,0.124892704,0.027467811,0.020600858,0.005579399,0.005579399,0.00472103,0.001287554,0.006008584,0.000429185,0.000858369,0,0.000858369,0.001287554,0.00472103,0,0.002575107,0.005150215,0.001716738,0.005579399,0.000429185,0,0,0.000429185,0,0.003433476,0,0.000429185,0.000429185,0.001287554,0.002575107,0.000429185,0.001716738,0.00944206,0.000858369,0.003862661,0.003004292,0.002575107,0.000429185,0.000858369,0.001287554,0.006008584,0,0.000429185,0.003862661,0,0.000429185,0,0,0.001716738
