OTUs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
525,14,169,12,144,7,174,169,241,86,168,55,15,3,8,3,2,7,0,1,2,3,1,4,1,4,10,1,7,1,1,0,0,0,3,0,0,0,3,5,0,2,13,0,2,5,7,1,0,2,1,0,1,0,2,0,0,0,2
546,79,385,64,322,60,400,408,537,261,412,81,96,21,29,8,4,14,1,1,2,0,2,25,1,5,23,9,14,1,0,0,2,0,3,0,1,2,6,18,3,10,44,5,16,13,19,5,2,5,17,0,3,7,2,3,0,6,6
750,8,17,5,13,4,6,18,22,9,22,3,8,5,8,8,5,8,0,2,0,0,1,9,0,1,4,3,7,0,0,0,0,0,4,0,0,0,0,2,0,4,23,1,8,13,8,0,3,3,8,0,0,3,1,1,1,2,4
784,8,4,4,11,4,12,16,20,16,14,7,11,6,7,5,2,3,1,0,0,0,0,6,0,2,10,4,7,1,0,0,1,0,1,0,0,0,1,8,0,4,17,2,7,7,4,3,3,4,9,0,0,2,1,0,1,3,4
1710,286,74,302,37,241,100,22,25,2,25,357,251,960,468,350,309,601,22,24,55,74,46,498,44,178,650,314,486,18,10,25,35,6,465,31,33,17,148,496,6,116,380,42,681,636,706,113,59,119,379,24,52,162,90,19,26,22,115
1713,282,80,285,61,241,114,32,16,0,28,353,273,1103,488,454,330,702,17,39,67,70,36,560,51,171,769,299,603,23,12,17,34,5,459,20,40,23,159,551,8,138,438,60,747,744,840,113,78,143,449,17,42,183,111,28,28,40,136
1763,624,170,463,233,769,487,137,76,6,118,454,526,5874,5749,3536,2839,10233,499,481,637,544,1128,9611,596,4155,6945,3747,5639,297,96,157,402,75,1964,191,339,343,3545,8099,88,3295,8882,1417,4017,7877,9350,936,1920,2364,5661,302,1320,3209,2427,558,531,608,2471
1766,325,122,287,161,454,286,97,52,4,79,317,232,2756,2892,2048,1803,5120,392,379,481,433,805,5997,490,2784,3297,2315,3621,202,65,99,265,39,1237,137,229,230,2311,4601,58,2179,4845,998,1917,4218,5091,623,1277,1644,3222,172,947,2314,1701,360,400,406,1614
1774,35,11,25,12,43,21,5,5,0,7,18,27,314,289,180,147,592,17,29,37,24,55,500,23,199,354,180,273,14,3,8,20,3,108,13,12,18,201,433,3,182,448,79,222,400,502,46,88,100,287,13,71,160,130,26,25,22,113
1798,4,7,9,9,16,14,2,0,0,6,9,4,68,77,57,50,133,16,18,22,14,22,232,29,114,59,76,154,5,4,8,10,3,36,7,8,5,108,127,2,95,154,45,32,125,168,36,39,61,145,8,33,83,58,21,17,14,71
2002,0,0,1,2,0,1,1,1,0,0,1,0,1,3,1,2,0,1,1,3,1,3,5,2,13,0,4,12,2,0,1,0,1,2,0,2,0,2,6,1,9,11,3,0,0,6,3,4,8,2,1,4,8,6,2,1,3,16
2100,0,1,3,1,0,2,0,0,1,1,1,0,5,5,6,8,11,4,5,5,5,11,14,8,32,6,14,20,1,0,1,2,0,7,4,4,3,13,10,4,11,26,10,3,9,11,12,7,14,15,8,13,16,15,9,8,12,58
