row,column,cor,p,Samples
IA1,IA29,0.987866474,0,Asymptomatic
IA24,IA35,0.984468591,0,Asymptomatic
IA2,IA3,0.979580461,0,Asymptomatic
IA3,IA5,0.975721736,0,Asymptomatic
IA27,IA35,0.973470498,0,Asymptomatic
IA4,IA24,0.971608189,0,Asymptomatic
IA4,IA35,0.970320761,0,Asymptomatic
IA2,IA5,0.970268675,0,Asymptomatic
IA24,IA30,0.968677585,0,Asymptomatic
IA30,IA35,0.968079092,0,Asymptomatic
IA4,IA43,0.967200573,0,Asymptomatic
IA35,IA41,0.966453019,0,Asymptomatic
IA3,IA43,0.96465701,0,Asymptomatic
IA5,IA29,0.964461404,0,Asymptomatic
IA4,IA30,0.963522645,0,Asymptomatic
IA35,IA43,0.963229758,0,Asymptomatic
IA1,IA2,0.96220352,0,Asymptomatic
IA1,IA5,0.962006778,0,Asymptomatic
IA24,IA27,0.961300907,0,Asymptomatic
C5,IA29,0.961068352,0,Asymptomatic
IA5,IA43,0.959881943,0,Asymptomatic
C5,IA1,0.959247934,0,Asymptomatic
IA27,IA30,0.95912923,0,Asymptomatic
IA4,IA27,0.956451385,0,Asymptomatic
IA3,IA4,0.956191377,0,Asymptomatic
IA3,IA30,0.956102956,0,Asymptomatic
IA2,IA29,0.955420979,0,Asymptomatic
IA24,IA43,0.955202835,0,Asymptomatic
IA3,IA29,0.955112438,0,Asymptomatic
IA3,IA24,0.954033669,0,Asymptomatic
IA18,IA27,0.953750118,0,Asymptomatic
IA2,IA41,0.953570221,0,Asymptomatic
IA22,IA27,0.953447671,0,Asymptomatic
IA20,IA27,0.953432503,0,Asymptomatic
C1,IA29,0.953183768,0,Asymptomatic
IA5,IA24,0.953161721,0,Asymptomatic
IA1,IA3,0.952855664,0,Asymptomatic
IA3,IA35,0.951906269,0,Asymptomatic
IA24,IA41,0.951881561,0,Asymptomatic
IA18,IA30,0.951868,0,Asymptomatic
IA4,IA5,0.950574512,0,Asymptomatic
IA18,IA22,0.950322463,0,Asymptomatic
C3,IA1,0.948839978,0,Asymptomatic
IA18,IA24,0.948395961,0,Asymptomatic
IA5,IA35,0.948006954,0,Asymptomatic
C1,IA1,0.94795358,0,Asymptomatic
IA5,IA41,0.946883578,0,Asymptomatic
IA35,IA37,0.946660004,0,Asymptomatic
IA3,IA41,0.94645299,0,Asymptomatic
IA21,IA27,0.946121952,0,Asymptomatic
IA20,IA35,0.946077697,0,Asymptomatic
IA4,IA41,0.945745172,0,Asymptomatic
IA2,IA43,0.94447967,0,Asymptomatic
IA30,IA43,0.944305354,0,Asymptomatic
IA20,IA24,0.943624979,0,Asymptomatic
IA27,IA43,0.943456872,0,Asymptomatic
IA2,IA35,0.943132264,0,Asymptomatic
IA41,IA43,0.94246205,0,Asymptomatic
IA19,IA27,0.941372131,0,Asymptomatic
IA27,IA45,0.941060332,0,Asymptomatic
IA24,IA37,0.940170493,0,Asymptomatic
C3,IA29,0.939986472,0,Asymptomatic
IA2,IA24,0.939760617,0,Asymptomatic
IA27,IA41,0.939685797,0,Asymptomatic
C12,IA29,0.939428726,0,Asymptomatic
IA2,IA30,0.93935652,0,Asymptomatic
IA18,IA35,0.939023171,0,Asymptomatic
IA30,IA41,0.938869657,0,Asymptomatic
IA5,IA30,0.93886455,0,Asymptomatic
IA22,IA30,0.937771562,0,Asymptomatic
IA21,IA35,0.937623115,0,Asymptomatic
IA4,IA18,0.937535592,0,Asymptomatic
IA2,IA4,0.936777789,0,Asymptomatic
C12,IA1,0.936223236,0,Asymptomatic
IA19,IA21,0.93551195,0,Asymptomatic
IA19,IA24,0.93408547,0,Asymptomatic
IA24,IA46,0.933968621,0,Asymptomatic
IA20,IA43,0.933501288,0,Asymptomatic
IA18,IA19,0.933442955,0,Asymptomatic
IA20,IA37,0.932109072,0,Asymptomatic
C3,IA2,0.931430066,0,Asymptomatic
IA19,IA46,0.930844829,0,Asymptomatic
C3,IA5,0.930752129,0,Asymptomatic
IA21,IA30,0.930135453,0,Asymptomatic
IA20,IA30,0.930001843,0,Asymptomatic
IA19,IA22,0.929911173,0,Asymptomatic
IA18,IA20,0.929801095,0,Asymptomatic
IA21,IA37,0.929534763,0,Asymptomatic
IA30,IA45,0.929396993,0,Asymptomatic
IA21,IA24,0.929140387,0,Asymptomatic
C5,IA2,0.928363729,0,Asymptomatic
IA18,IA21,0.928228194,0,Asymptomatic
IA19,IA20,0.928159616,0,Asymptomatic
IA35,IA46,0.928110225,0,Asymptomatic
IA27,IA37,0.927894331,0,Asymptomatic
IA22,IA35,0.927222356,0,Asymptomatic
IA27,IA46,0.927206236,0,Asymptomatic
IA4,IA20,0.927149275,0,Asymptomatic
IA19,IA35,0.92708452,0,Asymptomatic
IA25,IA27,0.926080103,0,Asymptomatic
IA21,IA41,0.924127447,0,Asymptomatic
IA37,IA41,0.923695085,0,Asymptomatic
C11,IA1,0.923347652,0,Asymptomatic
IA29,IA43,0.92304749,0,Asymptomatic
IA35,IA45,0.922620559,0,Asymptomatic
IA20,IA45,0.922325198,0,Asymptomatic
IA20,IA22,0.92229881,0,Asymptomatic
IA20,IA21,0.921865113,0,Asymptomatic
IA30,IA37,0.921303082,0,Asymptomatic
IA18,IA41,0.921291819,0,Asymptomatic
IA22,IA45,0.921117708,0,Asymptomatic
IA19,IA30,0.920998989,0,Asymptomatic
IA43,IA45,0.920911697,0,Asymptomatic
IA4,IA19,0.920693674,0,Asymptomatic
IA4,IA21,0.920267466,0,Asymptomatic
C5,IA5,0.919968085,0,Asymptomatic
IA27,IA44,0.919765409,0,Asymptomatic
IA1,IA43,0.919177129,0,Asymptomatic
IA22,IA24,0.919101764,0,Asymptomatic
IA19,IA41,0.919068808,0,Asymptomatic
IA22,IA44,0.918784639,0,Asymptomatic
IA3,IA27,0.918750206,0,Asymptomatic
IA19,IA37,0.9186337,0,Asymptomatic
IA4,IA37,0.918362704,0,Asymptomatic
IA41,IA46,0.918208616,0,Asymptomatic
IA20,IA25,0.917993869,0,Asymptomatic
IA5,IA27,0.917410037,0,Asymptomatic
IA20,IA41,0.917348946,0,Asymptomatic
IA21,IA45,0.917115926,0,Asymptomatic
IA37,IA43,0.91567437,0,Asymptomatic
C3,IA3,0.915614207,0,Asymptomatic
IA18,IA37,0.915146233,0,Asymptomatic
C11,IA29,0.914614287,0,Asymptomatic
C5,IA3,0.914584952,0,Asymptomatic
IA19,IA43,0.913649922,0,Asymptomatic
IA24,IA45,0.91317136,0,Asymptomatic
IA43,IA46,0.912776723,0,Asymptomatic
IA30,IA46,0.912589905,0,Asymptomatic
IA35,IA40,0.912166784,0,Asymptomatic
IA1,IA41,0.911996424,0,Asymptomatic
C1,IA2,0.911776292,0,Asymptomatic
IA4,IA22,0.911707585,0,Asymptomatic
IA37,IA46,0.911296193,0,Asymptomatic
IA21,IA46,0.91061122,0,Asymptomatic
IA4,IA45,0.910236869,0,Asymptomatic
C11,IA2,0.910085586,0,Asymptomatic
IA35,IA44,0.909449799,0,Asymptomatic
IA40,IA41,0.909258823,0,Asymptomatic
IA21,IA43,0.90909256,0,Asymptomatic
IA29,IA41,0.909057476,0,Asymptomatic
IA22,IA41,0.908900752,0,Asymptomatic
IA18,IA46,0.908743829,0,Asymptomatic
IA18,IA43,0.908328765,0,Asymptomatic
IA4,IA44,0.908003257,0,Asymptomatic
IA25,IA35,0.907718141,0,Asymptomatic
IA22,IA43,0.906909052,0,Asymptomatic
IA3,IA20,0.904645007,0,Asymptomatic
IA5,IA18,0.903909429,0,Asymptomatic
IA25,IA30,0.903810706,0,Asymptomatic
IA3,IA45,0.903636928,0,Asymptomatic
IA22,IA25,0.90347861,0,Asymptomatic
IA22,IA46,0.903422666,0,Asymptomatic
IA4,IA46,0.903276617,0,Asymptomatic
IA19,IA45,0.903251445,0,Asymptomatic
IA24,IA40,0.903167598,0,Asymptomatic
IA2,IA27,0.903012817,0,Asymptomatic
IA18,IA45,0.901217757,0,Asymptomatic
IA4,IA29,0.900877953,0,Asymptomatic
IA18,IA25,0.900610238,0,Asymptomatic
IA37,IA45,0.900588073,0,Asymptomatic
IA5,IA46,0.900415647,0,Asymptomatic
C1,IA5,0.900220843,0,Asymptomatic
IA3,IA18,0.900005181,0,Asymptomatic
IA25,IA41,0.899636065,0,Asymptomatic
IA20,IA46,0.899474137,0,Asymptomatic
C3,IA43,0.899155841,0,Asymptomatic
IA21,IA22,0.899005986,0,Asymptomatic
IA1,IA4,0.89868272,0,Asymptomatic
IA25,IA40,0.898413666,0,Asymptomatic
IA24,IA25,0.898411195,0,Asymptomatic
IA20,IA40,0.897410291,0,Asymptomatic
IA25,IA44,0.897397045,0,Asymptomatic
IA5,IA20,0.897219801,0,Asymptomatic
IA5,IA45,0.89661373,0,Asymptomatic
IA4,IA25,0.896256608,0,Asymptomatic
IA19,IA44,0.895992356,0,Asymptomatic
IA41,IA45,0.895737901,0,Asymptomatic
IA40,IA43,0.895584487,0,Asymptomatic
IA30,IA44,0.894711629,0,Asymptomatic
IA3,IA21,0.894679686,0,Asymptomatic
IA22,IA37,0.894251973,0,Asymptomatic
IA24,IA29,0.894038941,0,Asymptomatic
IA41,IA44,0.892858624,0,Asymptomatic
IA5,IA37,0.892511636,0,Asymptomatic
IA29,IA35,0.892408604,0,Asymptomatic
