row,column,cor,p,Samples
IA2,IA29,1,0,Asymptomatic
IA1,IA5,0.998250217,1.29E-13,Asymptomatic
IA2,IA3,0.996497362,4.13E-12,Asymptomatic
IA3,IA29,0.996497362,4.13E-12,Asymptomatic
IA27,IA40,0.994741418,3.14E-11,Asymptomatic
IA21,IA45,0.994741418,3.14E-11,Asymptomatic
IA30,IA45,0.994741418,3.14E-11,Asymptomatic
IA4,IA35,0.994736842,3.15E-11,Asymptomatic
C1,IA2,0.993006993,1.30E-10,Asymptomatic
C5,IA2,0.993006993,1.30E-10,Asymptomatic
C1,IA29,0.993006993,1.30E-10,Asymptomatic
C5,IA29,0.993006993,1.30E-10,Asymptomatic
IA3,IA35,0.992971657,1.33E-10,Asymptomatic
IA2,IA5,0.991244953,3.99E-10,Asymptomatic
IA5,IA29,0.991244953,3.99E-10,Asymptomatic
IA2,IA35,0.991244953,3.99E-10,Asymptomatic
IA29,IA35,0.991244953,3.99E-10,Asymptomatic
C1,IA3,0.989479775,9.97E-10,Asymptomatic
IA20,IA27,0.98774232,2.14E-09,Asymptomatic
IA4,IA30,0.98774232,2.14E-09,Asymptomatic
IA40,IA46,0.987612166,2.25E-09,Asymptomatic
IA1,IA2,0.986013986,4.12E-09,Asymptomatic
IA22,IA27,0.986013986,4.12E-09,Asymptomatic
IA1,IA29,0.986013986,4.12E-09,Asymptomatic
IA21,IA30,0.986013986,4.12E-09,Asymptomatic
C5,IA3,0.985970982,4.18E-09,Asymptomatic
IA27,IA41,0.985970982,4.18E-09,Asymptomatic
IA30,IA41,0.985970982,4.18E-09,Asymptomatic
IA3,IA43,0.985970982,4.18E-09,Asymptomatic
IA5,IA35,0.985964912,4.19E-09,Asymptomatic
C12,IA3,0.985941769,4.22E-09,Asymptomatic
IA3,IA5,0.985941769,4.22E-09,Asymptomatic
C5,IA5,0.984239688,7.46E-09,Asymptomatic
IA24,IA30,0.984239688,7.46E-09,Asymptomatic
C1,IA35,0.984239688,7.46E-09,Asymptomatic
C5,IA35,0.984239688,7.46E-09,Asymptomatic
IA1,IA35,0.984239688,7.46E-09,Asymptomatic
C12,IA43,0.984239688,7.46E-09,Asymptomatic
IA40,IA41,0.984128515,7.72E-09,Asymptomatic
C3,IA35,0.98245614,1.27E-08,Asymptomatic
IA20,IA41,0.982426825,1.28E-08,Asymptomatic
IA18,IA20,0.982299486,1.33E-08,Asymptomatic
C12,IA2,0.980737056,2.02E-08,Asymptomatic
IA1,IA4,0.980737056,2.02E-08,Asymptomatic
C12,IA29,0.980737056,2.02E-08,Asymptomatic
C3,IA4,0.980701754,2.04E-08,Asymptomatic
IA4,IA37,0.980669353,2.06E-08,Asymptomatic
IA18,IA30,0.980580676,2.11E-08,Asymptomatic
IA18,IA45,0.980387501,2.21E-08,Asymptomatic
C5,IA1,0.979020979,3.09E-08,Asymptomatic
IA1,IA3,0.978953395,3.14E-08,Asymptomatic
IA27,IA46,0.978897513,3.18E-08,Asymptomatic
IA18,IA41,0.978659945,3.36E-08,Asymptomatic
C3,IA2,0.977234423,4.64E-08,Asymptomatic
IA2,IA4,0.977234423,4.64E-08,Asymptomatic
C1,IA5,0.977234423,4.64E-08,Asymptomatic
C3,IA29,0.977234423,4.64E-08,Asymptomatic
IA4,IA29,0.977234423,4.64E-08,Asymptomatic
IA30,IA35,0.977234423,4.64E-08,Asymptomatic
IA35,IA43,0.977234423,4.64E-08,Asymptomatic
IA4,IA5,0.977192982,4.68E-08,Asymptomatic
IA4,IA24,0.977192982,4.68E-08,Asymptomatic
IA22,IA40,0.977166482,4.70E-08,Asymptomatic
IA3,IA4,0.977154409,4.72E-08,Asymptomatic
IA41,IA45,0.97707383,4.80E-08,Asymptomatic
IA30,IA37,0.975444601,6.75E-08,Asymptomatic
IA24,IA37,0.975396937,6.81E-08,Asymptomatic
IA20,IA40,0.975358159,6.87E-08,Asymptomatic
