row,column,cor,p,Samples
IA24,IA35,0.968019413,0,Asymptomatic
IA1,IA29,0.965877678,0,Asymptomatic
IA5,IA29,0.948725453,0,Asymptomatic
IA3,IA5,0.948586155,0,Asymptomatic
IA2,IA3,0.946287645,0,Asymptomatic
IA2,IA29,0.942441024,0,Asymptomatic
IA4,IA24,0.940082377,0,Asymptomatic
IA3,IA29,0.939775165,0,Asymptomatic
IA24,IA30,0.937956818,0,Asymptomatic
IA1,IA2,0.936311468,0,Asymptomatic
IA3,IA24,0.93575162,0,Asymptomatic
IA2,IA5,0.93535331,0,Asymptomatic
IA24,IA43,0.932639489,0,Asymptomatic
IA27,IA35,0.931714646,0,Asymptomatic
IA24,IA27,0.927438877,0,Asymptomatic
IA1,IA5,0.927401576,0,Asymptomatic
IA4,IA30,0.927393811,0,Asymptomatic
IA30,IA35,0.926071613,0,Asymptomatic
IA4,IA35,0.925722477,0,Asymptomatic
IA3,IA43,0.92414934,0,Asymptomatic
IA3,IA4,0.923382541,0,Asymptomatic
IA5,IA24,0.922277134,0,Asymptomatic
IA1,IA3,0.922177319,0,Asymptomatic
IA4,IA43,0.922092146,0,Asymptomatic
IA35,IA43,0.921226136,0,Asymptomatic
IA5,IA43,0.920724068,0,Asymptomatic
IA3,IA30,0.920395523,0,Asymptomatic
IA20,IA27,0.919250757,0,Asymptomatic
C5,IA29,0.918392894,0,Asymptomatic
IA5,IA35,0.914317532,0,Asymptomatic
IA2,IA24,0.913995744,0,Asymptomatic
IA3,IA35,0.913581099,0,Asymptomatic
IA27,IA30,0.913284542,0,Asymptomatic
IA4,IA27,0.907744909,0,Asymptomatic
IA4,IA5,0.907081954,0,Asymptomatic
IA2,IA35,0.906488552,0,Asymptomatic
C1,IA29,0.906180822,0,Asymptomatic
IA27,IA43,0.903273392,0,Asymptomatic
IA2,IA4,0.902797158,0,Asymptomatic
IA30,IA43,0.902499775,0,Asymptomatic
C5,IA1,0.900169296,0,Asymptomatic
IA5,IA30,0.899948679,0,Asymptomatic
IA2,IA43,0.899297121,0,Asymptomatic
IA29,IA43,0.898166801,0,Asymptomatic
C3,IA2,0.897228033,0,Asymptomatic
IA2,IA30,0.896277949,0,Asymptomatic
C1,IA1,0.894996482,0,Asymptomatic
C3,IA1,0.890898182,0,Asymptomatic
IA35,IA41,0.890720794,0,Asymptomatic
C12,IA29,0.88971663,0,Asymptomatic
IA18,IA27,0.889121806,0,Asymptomatic
IA18,IA24,0.888092088,0,Asymptomatic
IA25,IA27,0.887584024,0,Asymptomatic
C3,IA29,0.886697704,0,Asymptomatic
IA24,IA29,0.886325982,0,Asymptomatic
C5,IA2,0.885430429,0,Asymptomatic
IA1,IA43,0.883506092,0,Asymptomatic
IA29,IA35,0.882932474,0,Asymptomatic
IA24,IA41,0.881883808,0,Asymptomatic
IA1,IA4,0.881851206,0,Asymptomatic
IA20,IA24,0.881118232,0,Asymptomatic
IA4,IA29,0.878498425,0,Asymptomatic
C3,IA5,0.877714106,0,Asymptomatic
IA20,IA35,0.87596231,0,Asymptomatic
C5,IA5,0.87485798,0,Asymptomatic
C12,IA1,0.874412092,0,Asymptomatic
IA5,IA27,0.873470347,0,Asymptomatic
IA2,IA41,0.871982999,0,Asymptomatic
IA24,IA37,0.87083214,0,Asymptomatic
IA20,IA25,0.870141809,0,Asymptomatic
IA1,IA24,0.870053665,0,Asymptomatic
C11,IA29,0.869749551,0,Asymptomatic
IA3,IA27,0.869575739,0,Asymptomatic
C1,IA2,0.868849362,0,Asymptomatic
IA22,IA27,0.8682328,0,Asymptomatic
C11,IA1,0.867818145,0,Asymptomatic
IA18,IA30,0.866843685,0,Asymptomatic
IA24,IA46,0.865991294,0,Asymptomatic
C5,IA3,0.864682218,0,Asymptomatic
IA4,IA41,0.864369959,0,Asymptomatic
IA4,IA20,0.861479198,0,Asymptomatic
IA35,IA37,0.861271623,0,Asymptomatic
IA18,IA35,0.860966753,0,Asymptomatic
IA2,IA27,0.860276735,0,Asymptomatic
C1,IA5,0.859835387,0,Asymptomatic
C3,IA3,0.858767717,0,Asymptomatic
IA30,IA41,0.85782363,0,Asymptomatic
IA1,IA35,0.857676026,0,Asymptomatic
IA29,IA30,0.857537664,0,Asymptomatic
IA5,IA41,0.857220681,0,Asymptomatic
C11,IA2,0.857166012,0,Asymptomatic
IA41,IA43,0.855405612,0,Asymptomatic
IA3,IA41,0.854812366,0,Asymptomatic
IA27,IA41,0.854454664,0,Asymptomatic
IA4,IA18,0.853717756,0,Asymptomatic
IA20,IA30,0.851742115,0,Asymptomatic
IA22,IA30,0.851379262,0,Asymptomatic
IA35,IA46,0.850744027,0,Asymptomatic
IA22,IA35,0.849819895,0,Asymptomatic
IA35,IA40,0.848417968,0,Asymptomatic
C11,IA5,0.847311082,0,Asymptomatic
IA43,IA46,0.843688502,0,Asymptomatic
IA30,IA45,0.84361891,0,Asymptomatic
IA19,IA27,0.843402537,0,Asymptomatic
IA22,IA24,0.842433481,0,Asymptomatic
IA27,IA37,0.842354657,0,Asymptomatic
IA18,IA37,0.841770818,0,Asymptomatic
IA27,IA45,0.84149379,0,Asymptomatic
IA19,IA24,0.841383206,0,Asymptomatic
IA18,IA43,0.84038904,0,Asymptomatic
IA18,IA22,0.838027749,0,Asymptomatic
C12,IA2,0.837388651,0,Asymptomatic
IA20,IA43,0.837374886,0,Asymptomatic
IA27,IA46,0.837054404,0,Asymptomatic
IA19,IA35,0.835990199,0,Asymptomatic
IA1,IA30,0.835114877,0,Asymptomatic
C1,IA3,0.834885629,0,Asymptomatic
C12,IA5,0.834260562,0,Asymptomatic
IA19,IA22,0.834042821,0,Asymptomatic
IA43,IA45,0.833605588,0,Asymptomatic
IA29,IA41,0.83307673,0,Asymptomatic
IA4,IA25,0.832775412,0,Asymptomatic
IA18,IA46,0.8319764,0,Asymptomatic
IA35,IA45,0.831970999,0,Asymptomatic
IA18,IA20,0.831912404,0,Asymptomatic
IA20,IA40,0.830688152,0,Asymptomatic
IA25,IA35,0.830501232,0,Asymptomatic
IA18,IA19,0.829851776,0,Asymptomatic
C3,IA43,0.829745555,0,Asymptomatic
IA27,IA40,0.82903934,0,Asymptomatic
IA24,IA40,0.828518453,0,Asymptomatic
IA1,IA41,0.826792372,0,Asymptomatic
IA19,IA46,0.826643659,0,Asymptomatic
IA24,IA25,0.826484594,0,Asymptomatic
IA19,IA21,0.826243834,0,Asymptomatic
IA19,IA41,0.825885806,0,Asymptomatic
IA30,IA46,0.825728065,0,Asymptomatic
IA30,IA40,0.825157692,0,Asymptomatic
IA24,IA45,0.824333483,0,Asymptomatic
IA5,IA46,0.824266617,0,Asymptomatic
IA20,IA22,0.824254294,0,Asymptomatic
IA21,IA27,0.823987137,0,Asymptomatic
IA21,IA30,0.82357876,0,Asymptomatic
C11,IA3,0.82352288,0,Asymptomatic
IA22,IA43,0.823507085,0,Asymptomatic
IA37,IA43,0.823062422,0,Asymptomatic
IA30,IA37,0.822378164,0,Asymptomatic
IA19,IA20,0.821852494,0,Asymptomatic
IA4,IA37,0.821627192,0,Asymptomatic
IA5,IA20,0.821173635,0,Asymptomatic
IA20,IA37,0.821082626,0,Asymptomatic
IA37,IA46,0.820390603,0,Asymptomatic
IA27,IA44,0.820353787,0,Asymptomatic
IA4,IA40,0.820142511,0,Asymptomatic
IA27,IA29,0.819800323,0,Asymptomatic
IA3,IA18,0.819647899,0,Asymptomatic
IA3,IA46,0.819463648,0,Asymptomatic
IA4,IA22,0.819418535,0,Asymptomatic
IA21,IA35,0.819214921,0,Asymptomatic
IA3,IA20,0.819203591,0,Asymptomatic
IA20,IA46,0.818505843,0,Asymptomatic
C3,IA24,0.818303347,0,Asymptomatic
IA25,IA41,0.818279172,0,Asymptomatic
IA19,IA43,0.818161999,0,Asymptomatic
IA21,IA45,0.817955226,0,Asymptomatic
C5,IA43,0.817823465,0,Asymptomatic
