OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
927,4,1,0,0,5,2,4,10,3,1,1,5,5,11,5,1,5,0,0,0,0,0,6,1,3,9,4,7,0,0,0,1,0,2,0,0,0,1,4,0,3,17,0,3,4,5,1,1,3,5,0,1,3,4,0,0,1,2
959,8,4,2,6,9,0,7,11,4,7,2,9,9,10,11,0,7,0,3,1,4,1,11,0,2,15,5,7,0,0,0,2,2,4,0,0,1,5,11,0,1,32,1,9,9,10,3,3,2,13,1,0,6,0,2,1,2,7
964,7,4,4,4,4,6,5,8,1,9,9,9,12,10,9,3,9,0,1,1,0,3,4,4,3,12,4,13,0,1,2,2,0,9,2,1,0,2,12,0,2,32,2,10,10,12,3,1,6,17,0,1,2,5,1,1,0,4
973,8,4,1,8,10,3,5,9,3,6,7,5,9,17,13,6,7,1,1,1,1,1,8,3,5,12,7,10,0,0,0,2,1,7,1,2,0,3,9,1,3,36,3,6,13,12,3,4,4,6,0,1,6,2,3,0,0,5
979,4,1,5,4,3,5,4,4,1,3,7,1,9,6,5,3,4,0,1,0,4,1,8,0,6,4,4,3,0,0,0,0,0,6,0,0,0,3,4,0,0,16,1,5,5,5,0,0,3,4,0,2,4,2,1,1,0,1
984,4,0,3,3,6,1,3,4,3,4,2,7,9,4,3,1,5,0,0,0,1,0,5,1,6,9,2,4,1,0,0,0,0,6,0,0,1,1,3,1,3,20,2,7,3,7,0,2,2,7,0,0,3,0,0,0,0,3
986,21,2,9,13,13,7,11,13,12,14,14,20,25,22,21,14,21,4,2,4,1,3,25,1,8,30,16,19,3,2,2,1,0,13,0,0,1,6,17,0,9,65,1,14,22,28,3,4,4,20,1,5,5,5,1,3,3,5
987,4,2,5,1,3,3,3,5,6,5,2,2,10,5,3,3,7,0,4,0,0,0,3,0,0,7,0,7,0,0,0,0,0,4,0,0,0,3,2,0,1,12,1,7,8,9,0,2,2,3,1,2,3,2,0,1,2,2
988,2,2,1,2,3,1,0,3,1,4,3,5,7,1,6,5,5,0,0,3,2,1,17,0,4,8,4,3,0,0,0,1,0,7,0,2,1,2,4,0,3,21,1,4,8,3,2,1,3,5,0,1,5,2,0,0,1,3
989,4,3,5,3,2,2,7,4,0,3,3,5,7,6,2,3,9,0,0,1,2,0,3,1,4,8,2,4,1,0,0,0,0,2,0,3,0,2,11,0,1,16,0,1,4,4,2,1,4,5,2,2,2,1,2,0,0,3
992,7,3,11,5,10,3,7,12,8,6,9,12,26,30,19,3,15,0,2,2,1,1,12,3,11,14,17,23,1,0,2,5,2,12,0,0,1,9,17,0,11,52,1,16,21,20,6,5,5,10,0,4,7,4,1,1,1,5
995,5,2,1,6,3,1,2,4,3,2,4,3,7,9,1,0,3,0,1,1,2,1,3,0,2,11,0,8,0,0,0,2,0,0,1,0,1,1,5,0,2,19,0,3,5,7,1,0,2,5,0,0,2,1,0,1,2,4
999,6,1,3,1,4,1,3,4,2,9,1,5,7,6,4,2,5,0,0,0,1,0,4,1,2,5,1,3,0,0,0,0,1,1,0,0,0,1,6,0,5,15,1,4,6,8,3,0,1,6,0,0,4,3,0,0,1,2
1001,1,3,2,3,5,3,1,4,4,2,1,3,5,8,3,2,3,0,0,1,1,1,6,0,4,6,5,5,1,0,0,0,0,4,0,0,0,1,4,0,3,14,0,4,4,3,0,1,1,6,0,2,6,2,0,0,0,0
1002,6,1,5,4,4,1,1,4,1,1,2,2,7,7,14,4,4,0,0,0,0,1,1,1,1,6,3,5,0,0,0,1,1,2,0,0,1,9,5,0,1,10,0,2,8,7,0,0,1,7,0,1,2,1,1,0,0,4
1004,6,0,3,2,7,1,3,4,2,6,2,4,9,4,2,3,4,0,0,2,1,1,2,1,5,12,2,7,0,1,1,0,0,6,0,0,0,1,4,0,3,20,1,11,3,7,1,2,0,4,0,1,2,0,1,0,1,3
1006,7,3,2,3,17,7,3,12,5,8,8,12,13,7,10,10,13,1,0,2,4,1,15,0,7,12,6,15,0,0,0,2,0,4,0,2,0,6,16,0,5,23,5,13,12,14,2,2,2,6,1,0,7,3,0,2,1,7
1010,6,2,4,4,3,2,4,3,0,5,2,5,8,8,3,6,9,0,2,0,0,0,4,0,3,7,1,9,1,0,0,1,0,4,0,0,2,1,7,0,4,25,0,8,7,12,0,0,3,3,0,1,1,0,1,3,0,0
1012,10,2,2,2,10,3,6,2,6,6,9,8,12,14,11,3,12,3,0,2,0,1,12,1,4,11,8,9,0,0,0,0,0,4,2,1,1,5,13,1,6,31,1,4,13,17,0,1,3,2,0,4,4,3,1,0,2,3
1015,4,1,2,2,3,3,2,1,1,6,2,8,5,11,4,3,8,0,0,0,0,0,3,0,2,10,1,6,0,0,0,1,0,3,2,0,1,4,1,0,2,15,0,6,6,7,1,1,1,4,0,0,2,1,0,0,0,0
1021,2,4,7,6,6,3,3,6,2,1,5,9,12,9,7,4,8,1,1,2,2,2,10,2,8,16,11,12,0,0,1,3,0,7,0,0,1,6,14,0,5,34,1,12,16,15,5,1,5,7,0,2,0,4,1,1,1,4
1023,5,2,3,4,5,2,6,7,0,6,4,6,13,16,15,6,13,2,0,0,3,2,13,0,3,12,6,12,2,0,0,1,0,8,1,1,2,6,9,0,6,20,5,10,16,18,2,1,4,12,1,1,7,3,0,0,1,3
1025,10,2,0,1,0,2,1,3,5,4,1,7,4,7,9,1,5,0,0,0,2,0,2,0,1,4,5,3,0,0,1,1,0,0,0,0,0,0,5,0,1,24,1,6,7,6,0,1,0,11,0,0,1,0,1,0,1,0
1026,4,3,5,0,3,1,1,4,2,1,9,5,6,6,4,5,6,0,0,0,0,0,6,0,2,2,1,4,1,2,0,0,0,3,1,1,1,0,4,0,1,12,1,5,5,7,1,0,1,7,0,1,4,2,0,0,1,3
1030,16,9,8,6,9,7,10,5,9,11,8,13,28,23,15,9,12,0,0,2,0,0,17,3,7,17,12,25,0,0,0,2,0,10,1,1,0,10,11,0,6,49,3,18,19,26,5,1,2,10,1,2,9,3,1,1,2,6
1035,15,7,10,10,7,6,7,10,8,4,7,12,22,16,11,15,19,4,2,1,2,0,22,1,8,18,8,32,0,0,2,1,0,7,1,1,0,5,20,2,6,54,1,13,13,18,0,3,5,13,0,5,6,4,0,1,0,6
1044,14,4,7,2,10,6,7,12,4,10,15,17,21,22,18,9,14,3,0,1,1,1,12,1,9,19,11,16,0,0,2,3,0,10,1,0,3,6,17,0,7,52,1,12,20,22,3,2,2,12,0,6,5,4,2,2,2,8
1048,4,1,3,3,2,3,2,3,2,0,3,2,4,8,6,4,9,0,1,2,0,1,5,0,7,5,2,3,0,0,0,0,0,7,0,0,0,3,2,0,3,9,1,5,3,3,0,0,2,4,1,0,1,1,1,0,1,3
1049,3,0,3,3,3,3,3,2,1,3,6,3,5,0,3,4,9,1,3,0,0,1,7,0,2,9,2,7,0,0,0,1,0,5,0,0,2,2,7,0,2,14,0,4,11,6,3,0,0,5,0,1,3,1,2,0,0,0
1050,2,1,1,1,2,2,2,2,0,0,4,9,5,7,6,1,7,0,1,0,1,0,4,1,3,8,3,9,0,0,0,0,0,1,0,0,0,1,8,0,1,12,1,3,6,10,0,3,0,3,0,1,1,2,0,0,2,3
1053,8,3,6,4,6,4,5,6,2,5,2,3,17,21,16,7,11,2,3,2,1,0,10,2,5,16,4,8,0,0,1,2,0,8,0,2,0,6,8,0,5,37,4,14,12,18,2,4,3,9,1,1,3,6,0,0,3,2
