OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48,
1629,39,24,48,8,36,14,6,3,1,5,60,46,89,44,32,31,60,5,5,5,17,7,36,10,22,53,29,50,3,3,4,5,0,52,2,6,3,22,45,2,23,88,9,63,75,160,10,19,14,27,3,1,28,7,3,0,2,25,1489
1630,14,16,25,8,13,10,1,1,0,2,19,13,42,22,26,13,20,3,4,6,8,4,18,10,6,13,11,16,0,0,5,3,0,30,1,4,0,7,22,2,5,25,9,35,22,76,2,6,7,10,2,5,5,7,1,2,2,13,
1631,10,17,16,2,15,7,2,2,0,1,28,20,48,26,18,15,29,1,1,3,4,1,26,4,7,26,8,16,1,0,0,3,0,30,1,1,2,6,26,2,8,43,3,36,25,77,9,4,6,15,0,4,3,5,2,3,2,13,
1634,347,238,367,70,227,157,36,36,2,45,421,372,639,392,325,288,441,26,54,56,80,64,378,64,210,444,253,377,15,14,33,58,2,342,42,39,38,153,355,11,132,784,91,470,549,1251,105,79,118,262,15,64,142,93,20,29,54,177,
1643,172,137,191,27,141,61,11,12,3,22,208,177,318,176,134,159,211,16,19,26,44,20,187,40,75,203,105,186,7,6,10,25,1,255,20,18,14,76,155,9,56,263,48,271,259,758,61,29,62,114,12,28,67,55,12,18,27,74,
1646,68,48,71,11,47,19,3,4,0,8,78,63,114,68,61,55,75,3,7,9,14,6,71,10,26,72,38,64,3,3,8,9,1,88,8,12,4,25,58,2,23,105,8,90,92,243,22,16,28,43,3,6,30,10,4,2,12,16,
1647,66,54,74,9,54,18,5,7,1,7,80,70,127,82,55,55,90,4,11,3,15,13,48,10,31,73,33,67,1,2,13,12,1,81,7,11,9,25,69,2,24,98,11,102,90,302,24,10,19,44,7,8,28,15,5,2,7,29,
1650,63,53,78,11,49,25,3,6,0,3,90,62,123,62,54,61,87,5,7,20,15,8,73,19,34,98,48,57,5,4,6,9,0,96,7,8,5,30,65,3,29,106,12,107,102,307,28,10,14,61,4,7,32,17,5,3,8,26,
1652,75,58,88,12,56,28,10,6,2,7,80,81,135,67,79,58,102,5,6,8,28,9,78,17,52,80,48,74,1,2,5,17,1,109,9,8,5,26,77,2,28,114,18,107,97,349,29,15,25,52,4,3,19,23,7,4,10,34,
1657,43,33,42,6,22,19,2,4,2,8,55,49,94,32,37,26,66,4,1,10,13,1,59,13,15,42,34,46,1,1,5,5,1,72,2,7,3,21,51,0,17,61,9,71,64,192,12,8,10,36,1,5,10,14,0,2,9,19,
