row,column,cor,p,Samples
IA1,IA29,0.934059729,0,Asymptomatic
IA5,IA29,0.917495148,0,Asymptomatic
IA24,IA35,0.912613851,0,Asymptomatic
IA3,IA5,0.911740231,0,Asymptomatic
IA2,IA29,0.911278629,0,Asymptomatic
IA2,IA5,0.908968373,0,Asymptomatic
IA2,IA3,0.908770492,0,Asymptomatic
IA3,IA29,0.903831172,0,Asymptomatic
IA1,IA5,0.89792631,0,Asymptomatic
IA1,IA2,0.894706306,0,Asymptomatic
IA1,IA3,0.889988954,0,Asymptomatic
C5,IA29,0.873847963,0,Asymptomatic
IA24,IA30,0.865532599,0,Asymptomatic
IA30,IA35,0.861935469,0,Asymptomatic
IA2,IA35,0.860520193,0,Asymptomatic
IA5,IA35,0.856880287,0,Asymptomatic
IA3,IA4,0.856417503,0,Asymptomatic
IA3,IA43,0.854631457,0,Asymptomatic
IA3,IA24,0.853724571,0,Asymptomatic
IA3,IA30,0.849667835,0,Asymptomatic
IA3,IA35,0.848596241,0,Asymptomatic
IA5,IA24,0.8484683,0,Asymptomatic
IA4,IA24,0.846803878,0,Asymptomatic
C3,IA2,0.844640567,0,Asymptomatic
IA24,IA27,0.843226773,0,Asymptomatic
IA27,IA35,0.843141872,0,Asymptomatic
C5,IA1,0.841628608,0,Asymptomatic
C3,IA29,0.840230376,0,Asymptomatic
IA2,IA24,0.840221433,0,Asymptomatic
IA29,IA35,0.839230569,0,Asymptomatic
IA4,IA43,0.837825148,0,Asymptomatic
IA4,IA35,0.836020332,0,Asymptomatic
C1,IA29,0.835758478,0,Asymptomatic
IA5,IA43,0.835670752,0,Asymptomatic
C5,IA2,0.834085989,0,Asymptomatic
IA2,IA4,0.833767447,0,Asymptomatic
IA4,IA5,0.831255314,0,Asymptomatic
IA2,IA30,0.830986688,0,Asymptomatic
IA5,IA30,0.830729423,0,Asymptomatic
C3,IA1,0.829109301,0,Asymptomatic
IA20,IA27,0.827127928,0,Asymptomatic
IA35,IA43,0.82699912,0,Asymptomatic
IA24,IA43,0.826811236,0,Asymptomatic
IA1,IA4,0.826496489,0,Asymptomatic
IA1,IA43,0.823912788,0,Asymptomatic
IA30,IA43,0.823255946,0,Asymptomatic
IA29,IA43,0.820537135,0,Asymptomatic
C3,IA5,0.819813062,0,Asymptomatic
C5,IA5,0.819637028,0,Asymptomatic
IA27,IA30,0.819199336,0,Asymptomatic
C11,IA29,0.819119273,0,Asymptomatic
IA2,IA43,0.818172076,0,Asymptomatic
IA4,IA30,0.818002209,0,Asymptomatic
IA24,IA29,0.817767099,0,Asymptomatic
C12,IA29,0.811108797,0,Asymptomatic
C1,IA1,0.809279493,0,Asymptomatic
IA4,IA29,0.806734638,0,Asymptomatic
IA18,IA27,0.804534805,0,Asymptomatic
IA1,IA35,0.804018833,0,Asymptomatic
IA35,IA41,0.798934003,0,Asymptomatic
IA2,IA41,0.798669338,0,Asymptomatic
IA27,IA43,0.797323471,0,Asymptomatic
IA18,IA24,0.795918581,0,Asymptomatic
C5,IA3,0.794155303,0,Asymptomatic
C11,IA2,0.793658076,0,Asymptomatic
IA1,IA24,0.793436147,0,Asymptomatic
IA18,IA35,0.792776659,0,Asymptomatic
C1,IA2,0.792374059,0,Asymptomatic
C11,IA1,0.790989163,0,Asymptomatic
