OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48,IS50
500,15,237,17,168,13,201,206,239,120,196,54,9,7,10,3,0,5,1,0,0,1,2,6,0,2,4,3,5,0,0,0,0,0,2,0,1,1,0,6,0,2,11,0,5,7,4,4,2,2,1,0,2,1,0,0,2,5,2
501,21,218,20,154,20,204,224,268,107,213,54,12,3,7,6,1,8,0,1,0,1,1,7,0,4,8,3,9,0,0,0,0,0,1,0,1,0,4,7,0,5,12,0,3,5,3,1,1,8,0,0,3,2,0,0,0,1,0
502,9,213,11,159,19,224,192,286,120,223,64,16,7,8,4,0,11,0,0,1,0,1,3,0,1,7,5,4,0,0,1,0,0,3,0,0,0,1,1,0,1,16,3,5,6,2,0,3,6,0,0,4,1,1,0,1,1,1
503,12,186,10,157,12,210,187,228,115,220,71,15,4,8,3,0,6,0,0,0,0,0,7,1,1,6,2,5,0,0,0,2,0,2,0,0,2,1,6,0,2,11,1,2,4,6,0,1,7,0,1,0,0,1,1,1,4,3
504,11,233,13,179,23,228,203,267,115,195,55,14,4,5,6,2,4,0,0,0,1,0,4,0,1,4,2,4,0,0,0,0,0,1,0,0,0,2,6,1,0,16,1,3,6,6,1,1,2,0,0,0,1,0,0,0,0,1
505,14,234,23,170,18,197,192,244,97,169,52,17,4,4,6,2,8,2,0,1,0,0,4,0,4,5,1,3,0,0,0,1,0,6,1,0,1,3,8,0,0,10,3,2,2,10,3,2,7,0,0,2,3,0,0,0,0,0
506,13,209,13,153,17,212,193,230,115,165,58,15,4,6,4,2,3,0,0,1,0,2,11,1,1,3,2,0,0,0,1,0,0,2,0,1,1,5,0,0,1,13,2,1,5,5,1,2,4,0,0,3,1,0,2,1,0,0
507,23,203,18,149,7,198,185,235,112,197,65,14,7,11,4,1,6,0,1,0,1,2,4,0,1,3,3,8,0,0,0,1,0,1,0,0,0,2,5,0,3,14,0,5,4,8,2,3,5,0,1,3,1,0,1,0,0,2
508,11,188,13,157,21,184,170,244,123,180,59,13,6,7,2,1,4,0,0,0,0,1,4,2,2,7,1,7,1,0,0,3,0,1,1,1,1,2,4,1,2,19,2,4,2,4,0,1,6,0,0,2,0,0,1,2,1,1
509,11,189,15,146,19,166,178,232,107,193,37,11,9,2,2,3,12,0,1,1,0,1,3,0,2,5,3,1,0,0,0,1,0,2,0,0,2,3,1,2,1,9,1,2,5,3,0,2,6,0,1,2,1,1,0,1,2,0
510,9,202,9,180,11,186,197,225,88,193,47,16,5,6,4,3,6,2,1,0,0,0,5,1,2,10,4,5,0,0,0,0,0,0,0,0,0,1,4,2,1,21,4,2,8,6,0,2,2,0,0,1,0,0,0,1,1,0
511,13,178,13,155,23,184,182,218,115,182,42,18,7,6,3,3,4,1,1,0,1,0,3,0,2,3,2,6,0,0,0,0,0,3,0,0,0,3,3,0,2,9,1,3,9,9,0,0,8,0,0,3,1,0,0,0,1,0
512,13,171,10,163,14,184,178,225,111,166,28,11,10,10,2,1,6,0,0,0,0,1,9,2,5,6,3,1,0,0,0,0,0,2,0,0,0,5,4,0,2,17,0,2,4,2,2,1,3,0,0,2,0,0,1,0,4,0
513,12,184,11,146,14,174,169,213,97,166,52,12,9,7,2,5,4,0,1,0,0,1,3,2,1,4,0,8,0,0,0,1,0,0,0,1,0,0,0,0,1,13,3,3,3,3,0,3,6,0,2,2,0,0,0,0,1,0
514,16,166,15,150,18,182,187,252,107,184,40,17,3,3,4,2,7,2,0,0,2,1,7,0,1,4,1,4,0,0,0,0,0,4,0,0,1,2,7,0,0,7,1,5,6,5,2,1,3,0,0,0,0,0,1,0,0,0
515,13,194,14,145,14,170,186,269,105,189,54,18,4,8,2,3,12,1,2,0,0,0,9,1,2,10,2,2,0,0,0,1,0,1,0,0,0,0,8,1,2,12,2,2,5,8,1,0,6,0,0,1,0,0,0,0,1,0
516,6,164,16,148,15,188,193,226,92,155,35,16,5,7,0,1,3,0,0,0,0,0,2,0,0,7,1,8,0,0,0,0,0,2,0,1,0,4,8,1,3,17,2,8,5,10,0,2,6,0,0,3,0,1,0,0,1,0
517,14,165,11,143,17,144,183,232,100,169,36,18,7,5,6,2,11,0,0,0,2,0,2,0,3,4,6,4,1,0,0,0,0,1,0,0,0,1,6,0,2,19,3,1,7,7,0,0,6,0,0,1,0,0,1,1,5,1
518,10,179,13,143,11,154,168,214,87,161,42,15,5,3,2,1,5,0,1,0,1,1,9,0,2,5,3,7,1,0,0,1,0,2,0,0,1,2,4,1,5,16,0,6,4,3,0,1,6,0,0,1,1,0,0,1,5,1
519,6,162,15,150,14,175,165,248,93,160,45,13,4,8,3,1,8,1,1,1,1,1,2,0,1,5,7,7,0,0,0,1,0,2,1,0,0,0,8,1,1,9,1,3,4,5,3,1,5,0,0,2,2,0,0,0,2,2
520,7,168,7,156,23,169,169,217,82,173,43,17,6,8,1,2,6,0,0,1,0,1,8,0,0,11,2,9,0,0,0,1,0,3,0,1,0,0,1,1,1,18,3,2,3,8,1,2,6,0,2,0,3,1,0,0,2,1
521,13,159,14,136,15,182,150,252,87,168,52,20,2,9,3,0,4,1,0,1,1,2,8,0,1,6,1,6,0,1,0,1,0,0,0,1,0,4,5,0,5,19,2,1,6,6,0,3,7,0,0,1,1,1,1,2,2,1
522,16,174,17,153,19,153,173,207,76,181,49,16,4,7,4,2,5,0,0,0,0,0,6,0,2,7,2,7,0,0,0,0,0,2,0,0,0,1,2,0,1,16,2,7,3,7,1,5,9,0,1,1,1,0,0,0,2,3
523,13,178,13,143,13,166,174,187,93,176,44,30,6,6,5,5,8,0,1,1,1,1,10,1,2,7,3,8,0,0,0,1,0,4,0,0,0,3,3,0,0,14,3,4,7,6,2,1,7,0,0,2,2,1,0,0,3,1
524,10,198,15,141,15,172,180,220,91,138,30,17,4,9,0,3,3,1,1,0,0,2,9,0,2,6,2,9,1,0,1,0,0,1,0,0,1,4,5,0,3,8,0,3,1,5,2,4,9,0,0,1,1,0,0,1,2,2
525,14,169,12,144,7,174,169,241,86,168,55,15,3,8,3,2,7,0,1,2,3,1,4,1,4,10,1,7,1,1,0,0,0,3,0,0,0,3,5,0,2,13,0,2,5,7,1,2,1,0,1,0,2,0,0,0,2,0
526,11,186,14,146,18,149,175,201,90,167,34,18,5,3,6,3,7,0,1,0,0,0,9,1,2,6,1,4,0,0,0,2,0,0,0,0,0,1,5,0,1,17,1,3,1,6,2,1,7,0,0,0,2,0,0,2,1,3
527,10,134,12,136,16,174,145,207,81,170,39,13,9,5,5,3,5,1,1,0,1,0,13,0,2,4,2,6,0,0,0,0,0,3,0,0,0,0,6,0,2,9,2,1,5,8,2,0,3,0,1,3,0,0,0,1,4,1
528,11,180,22,126,22,160,185,197,101,160,37,20,2,8,1,1,4,0,2,0,1,0,6,0,3,3,1,1,1,0,0,1,0,4,0,0,0,4,6,1,1,19,1,4,8,8,2,0,8,1,0,0,1,0,0,0,1,1
529,11,163,17,153,17,161,163,196,97,165,35,22,5,7,3,2,3,1,0,1,1,1,3,0,2,9,3,8,1,0,1,0,0,3,0,0,1,0,6,1,1,13,2,1,1,5,1,1,6,1,0,1,2,1,0,1,1,2
530,10,163,15,144,15,129,169,242,85,147,28,15,4,4,4,1,4,0,0,0,0,0,3,0,1,7,7,12,0,0,0,0,0,3,0,0,0,5,5,0,2,9,1,5,7,3,1,1,5,0,0,5,3,1,0,0,1,0
531,16,164,9,121,19,143,155,188,98,138,37,17,11,5,1,1,8,0,0,0,0,1,5,0,1,7,3,8,0,0,1,0,0,1,0,0,0,2,2,1,1,12,1,1,3,7,1,3,6,0,1,1,0,0,0,1,3,1
532,17,151,13,117,19,167,146,196,86,156,29,25,6,7,4,2,9,1,0,0,1,0,2,1,2,11,6,4,2,0,0,0,0,4,0,0,1,1,5,1,0,13,2,4,6,5,2,0,5,0,1,2,0,0,1,0,1,1
533,24,169,19,128,11,163,162,191,75,147,40,19,5,6,4,0,3,0,0,0,1,0,3,0,2,7,2,7,0,0,0,0,0,0,0,0,0,3,3,0,4,21,1,5,5,6,2,1,5,0,0,2,1,1,0,0,1,0
534,11,138,20,116,24,144,144,174,97,161,32,15,6,7,2,0,7,0,0,1,1,3,7,0,0,7,2,8,1,0,0,0,0,5,0,1,0,3,6,0,1,16,3,1,3,7,1,3,5,0,0,1,2,0,0,1,0,2
535,15,162,10,131,15,130,138,179,89,141,36,25,5,6,10,1,6,0,1,0,2,0,6,0,3,6,2,8,0,0,0,0,0,3,0,1,0,1,2,0,2,9,1,4,6,3,0,2,9,0,1,6,0,1,0,0,3,0
536,16,137,20,119,13,136,145,183,74,150,28,23,8,7,1,2,8,1,1,0,0,3,5,0,3,6,2,5,1,0,0,1,0,5,0,0,1,2,4,1,2,13,1,5,1,3,1,1,5,0,0,3,0,0,0,0,1,2
