OTU,Abundance,Symptoms,Species
1790,0.007960808,Asymptomatic,Mycobacterium asiaticum
1790,0.006833713,Asymptomatic,Mycobacterium asiaticum
1790,0.005621361,Asymptomatic,Mycobacterium asiaticum
1790,0.005521273,Asymptomatic,Mycobacterium asiaticum
1790,0.005488474,Asymptomatic,Mycobacterium asiaticum
1790,0.00524109,Asymptomatic,Mycobacterium asiaticum
1790,0.005207429,Asymptomatic,Mycobacterium asiaticum
1790,0.00503191,Asymptomatic,Mycobacterium asiaticum
1790,0.004959263,Asymptomatic,Mycobacterium asiaticum
1790,0.004504016,Asymptomatic,Mycobacterium asiaticum
1790,0.004452926,Asymptomatic,Mycobacterium asiaticum
1790,0.004357931,Asymptomatic,Mycobacterium asiaticum
1790,0.004227722,Asymptomatic,Mycobacterium asiaticum
1790,0.003871467,Asymptomatic,Mycobacterium asiaticum
1790,0.003864319,Asymptomatic,Mycobacterium asiaticum
1790,0.003820961,Asymptomatic,Mycobacterium asiaticum
1790,0.003632917,Asymptomatic,Mycobacterium asiaticum
1790,0.003194888,Asymptomatic,Mycobacterium asiaticum
1790,0.003183989,Asymptomatic,Mycobacterium asiaticum
1790,0.002986065,Asymptomatic,Mycobacterium asiaticum
1790,0.002898476,Asymptomatic,Mycobacterium asiaticum
1790,0.002642008,Asymptomatic,Mycobacterium asiaticum
1790,0.002549654,Asymptomatic,Mycobacterium asiaticum
1790,0.001889068,Asymptomatic,Mycobacterium asiaticum
1790,0.001862094,Asymptomatic,Mycobacterium asiaticum
1764,0.02888333,Asymptomatic,Mycobacterium avium
1764,0.024419362,Asymptomatic,Mycobacterium avium
1764,0.024214546,Asymptomatic,Mycobacterium avium
1764,0.024039595,Asymptomatic,Mycobacterium avium
1764,0.023469964,Asymptomatic,Mycobacterium avium
1764,0.022247483,Asymptomatic,Mycobacterium avium
1764,0.02189781,Asymptomatic,Mycobacterium avium
1764,0.02148847,Asymptomatic,Mycobacterium avium
1764,0.020538567,Asymptomatic,Mycobacterium avium
1764,0.020358741,Asymptomatic,Mycobacterium avium
1764,0.018914863,Asymptomatic,Mycobacterium avium
1764,0.018765903,Asymptomatic,Mycobacterium avium
1764,0.018254891,Asymptomatic,Mycobacterium avium
1764,0.018223235,Asymptomatic,Mycobacterium avium
1764,0.017943054,Asymptomatic,Mycobacterium avium
1764,0.017662242,Asymptomatic,Mycobacterium avium
1764,0.017146356,Asymptomatic,Mycobacterium avium
1764,0.015586256,Asymptomatic,Mycobacterium avium
1764,0.014813225,Asymptomatic,Mycobacterium avium
1764,0.014737991,Asymptomatic,Mycobacterium avium
1764,0.014324429,Asymptomatic,Mycobacterium avium
1764,0.014053403,Asymptomatic,Mycobacterium avium
1764,0.011495177,Asymptomatic,Mycobacterium avium
1764,0.010568032,Asymptomatic,Mycobacterium avium
1764,0.009879254,Asymptomatic,Mycobacterium avium
1767,0.013803118,Asymptomatic,Mycobacterium intracellulare
1767,0.012791121,Asymptomatic,Mycobacterium intracellulare
1767,0.011326159,Asymptomatic,Mycobacterium intracellulare
1767,0.011070111,Asymptomatic,Mycobacterium intracellulare
1767,0.011055251,Asymptomatic,Mycobacterium intracellulare
1767,0.010953902,Asymptomatic,Mycobacterium intracellulare
1767,0.010548783,Asymptomatic,Mycobacterium intracellulare
1767,0.01048218,Asymptomatic,Mycobacterium intracellulare
1767,0.01026694,Asymptomatic,Mycobacterium intracellulare
1767,0.009743423,Asymptomatic,Mycobacterium intracellulare
1767,0.009621765,Asymptomatic,Mycobacterium intracellulare
1767,0.009402655,Asymptomatic,Mycobacterium intracellulare
1767,0.009016745,Asymptomatic,Mycobacterium intracellulare
1767,0.008959254,Asymptomatic,Mycobacterium intracellulare
1767,0.008573178,Asymptomatic,Mycobacterium intracellulare
1767,0.008501594,Asymptomatic,Mycobacterium intracellulare
1767,0.008376913,Asymptomatic,Mycobacterium intracellulare
1767,0.00826972,Asymptomatic,Mycobacterium intracellulare
1767,0.007926024,Asymptomatic,Mycobacterium intracellulare
1767,0.007428227,Asymptomatic,Mycobacterium intracellulare
1767,0.006194348,Asymptomatic,Mycobacterium intracellulare
1767,0.006004367,Asymptomatic,Mycobacterium intracellulare
1767,0.005305466,Asymptomatic,Mycobacterium intracellulare
1767,0.003293085,Asymptomatic,Mycobacterium intracellulare
1767,0.002277904,Asymptomatic,Mycobacterium intracellulare
1778,0.013667426,Asymptomatic,Mycobacterium gordonae
1778,0.009621765,Asymptomatic,Mycobacterium gordonae
1778,0.008215427,Asymptomatic,Mycobacterium gordonae
1778,0.008158306,Asymptomatic,Mycobacterium gordonae
1778,0.007794739,Asymptomatic,Mycobacterium gordonae
1778,0.007627578,Asymptomatic,Mycobacterium gordonae
1778,0.007166376,Asymptomatic,Mycobacterium gordonae
1778,0.006977794,Asymptomatic,Mycobacterium gordonae
1778,0.006813417,Asymptomatic,Mycobacterium gordonae
1778,0.006783156,Asymptomatic,Mycobacterium gordonae
1778,0.006679389,Asymptomatic,Mycobacterium gordonae
1778,0.006555047,Asymptomatic,Mycobacterium gordonae
1778,0.006440532,Asymptomatic,Mycobacterium gordonae
1778,0.006429884,Asymptomatic,Mycobacterium gordonae
1778,0.006341996,Asymptomatic,Mycobacterium gordonae
1778,0.006104756,Asymptomatic,Mycobacterium gordonae
1778,0.006087383,Asymptomatic,Mycobacterium gordonae
1778,0.005019072,Asymptomatic,Mycobacterium gordonae
1778,0.004390779,Asymptomatic,Mycobacterium gordonae
1778,0.003982301,Asymptomatic,Mycobacterium gordonae
1778,0.003963012,Asymptomatic,Mycobacterium gordonae
1778,0.003820961,Asymptomatic,Mycobacterium gordonae
1778,0.003542331,Asymptomatic,Mycobacterium gordonae
1778,0.003456592,Asymptomatic,Mycobacterium gordonae
1778,0.0029036,Asymptomatic,Mycobacterium gordonae
1768,0.013663162,Asymptomatic,Mycobacterium kansasii
1768,0.011395702,Asymptomatic,Mycobacterium kansasii
1768,0.011389522,Asymptomatic,Mycobacterium kansasii
1768,0.011260452,Asymptomatic,Mycobacterium kansasii
1768,0.011119919,Asymptomatic,Mycobacterium kansasii
1768,0.010805416,Asymptomatic,Mycobacterium kansasii
1768,0.010015187,Asymptomatic,Mycobacterium kansasii
1768,0.009743423,Asymptomatic,Mycobacterium kansasii
1768,0.009477176,Asymptomatic,Mycobacterium kansasii
1768,0.009433962,Asymptomatic,Mycobacterium kansasii
1768,0.00928998,Asymptomatic,Mycobacterium kansasii
1768,0.009185548,Asymptomatic,Mycobacterium kansasii
1768,0.009103235,Asymptomatic,Mycobacterium kansasii
1768,0.008812684,Asymptomatic,Mycobacterium kansasii
1768,0.008781559,Asymptomatic,Mycobacterium kansasii
1768,0.008671839,Asymptomatic,Mycobacterium kansasii
1768,0.008419244,Asymptomatic,Mycobacterium kansasii
1768,0.008372692,Asymptomatic,Mycobacterium kansasii
1768,0.006361323,Asymptomatic,Mycobacterium kansasii
1768,0.00622365,Asymptomatic,Mycobacterium kansasii
1768,0.006000774,Asymptomatic,Mycobacterium kansasii
1768,0.004912664,Asymptomatic,Mycobacterium kansasii
1768,0.004623514,Asymptomatic,Mycobacterium kansasii
1768,0.004421222,Asymptomatic,Mycobacterium kansasii
1768,0.004250797,Asymptomatic,Mycobacterium kansasii
1769,0.013610679,Asymptomatic,Mycobacterium leprae
1769,0.011866728,Asymptomatic,Mycobacterium leprae
1769,0.011088199,Asymptomatic,Mycobacterium leprae
1769,0.010631835,Asymptomatic,Mycobacterium leprae
1769,0.010555375,Asymptomatic,Mycobacterium leprae
1769,0.01048218,Asymptomatic,Mycobacterium leprae
1769,0.00990099,Asymptomatic,Mycobacterium leprae
1769,0.009898657,Asymptomatic,Mycobacterium leprae
1769,0.009875483,Asymptomatic,Mycobacterium leprae
1769,0.009645774,Asymptomatic,Mycobacterium leprae
1769,0.009621765,Asymptomatic,Mycobacterium leprae
1769,0.009240246,Asymptomatic,Mycobacterium leprae
1769,0.008328491,Asymptomatic,Mycobacterium leprae
1769,0.007909292,Asymptomatic,Mycobacterium leprae
1769,0.007437408,Asymptomatic,Mycobacterium leprae
1769,0.007084662,Asymptomatic,Mycobacterium leprae
1769,0.006736069,Asymptomatic,Mycobacterium leprae
1769,0.00660502,Asymptomatic,Mycobacterium leprae
1769,0.006550218,Asymptomatic,Mycobacterium leprae
1769,0.005265273,Asymptomatic,Mycobacterium leprae
1769,0.00481831,Asymptomatic,Mycobacterium leprae
1769,0.004555809,Asymptomatic,Mycobacterium leprae
1769,0.004452926,Asymptomatic,Mycobacterium leprae
1769,0.004390779,Asymptomatic,Mycobacterium leprae
1769,0.004258614,Asymptomatic,Mycobacterium leprae
1784,0.00828191,Asymptomatic,Mycobacterium simiae
1784,0.007631055,Asymptomatic,Mycobacterium simiae
1784,0.006813417,Asymptomatic,Mycobacterium simiae
1784,0.006586169,Asymptomatic,Mycobacterium simiae
1784,0.006550218,Asymptomatic,Mycobacterium simiae
1784,0.006439476,Asymptomatic,Mycobacterium simiae
1784,0.005933364,Asymptomatic,Mycobacterium simiae
1784,0.005822124,Asymptomatic,Mycobacterium simiae
1784,0.005787465,Asymptomatic,Mycobacterium simiae
1784,0.005641382,Asymptomatic,Mycobacterium simiae
1784,0.005375552,Asymptomatic,Mycobacterium simiae
1784,0.004915939,Asymptomatic,Mycobacterium simiae
1784,0.004898959,Asymptomatic,Mycobacterium simiae
1784,0.004623514,Asymptomatic,Mycobacterium simiae
1784,0.004620123,Asymptomatic,Mycobacterium simiae
1784,0.004555809,Asymptomatic,Mycobacterium simiae
1784,0.004508373,Asymptomatic,Mycobacterium simiae
1784,0.00436054,Asymptomatic,Mycobacterium simiae
1784,0.004357931,Asymptomatic,Mycobacterium simiae
1784,0.00404945,Asymptomatic,Mycobacterium simiae
1784,0.003542331,Asymptomatic,Mycobacterium simiae
1784,0.003290747,Asymptomatic,Mycobacterium simiae
1784,0.002839233,Asymptomatic,Mycobacterium simiae
1784,0.002411576,Asymptomatic,Mycobacterium simiae
1784,0.002226463,Asymptomatic,Mycobacterium simiae
1787,0.0084443,Asymptomatic,Mycobacterium szulgai
1787,0.007631055,Asymptomatic,Mycobacterium szulgai
1787,0.006833713,Asymptomatic,Mycobacterium szulgai
1787,0.00629231,Asymptomatic,Mycobacterium szulgai
1787,0.006021962,Asymptomatic,Mycobacterium szulgai
1787,0.005933364,Asymptomatic,Mycobacterium szulgai
1787,0.005765199,Asymptomatic,Mycobacterium szulgai
1787,0.00548079,Asymptomatic,Mycobacterium szulgai
1787,0.005205144,Asymptomatic,Mycobacterium szulgai
1787,0.00498741,Asymptomatic,Mycobacterium szulgai
1787,0.004966548,Asymptomatic,Mycobacterium szulgai
1787,0.004958272,Asymptomatic,Mycobacterium szulgai
1787,0.004623514,Asymptomatic,Mycobacterium szulgai
1787,0.004508373,Asymptomatic,Mycobacterium szulgai
1787,0.004452187,Asymptomatic,Mycobacterium szulgai
1787,0.004416784,Asymptomatic,Mycobacterium szulgai
1787,0.004321128,Asymptomatic,Mycobacterium szulgai
1787,0.004146264,Asymptomatic,Mycobacterium szulgai
1787,0.00413486,Asymptomatic,Mycobacterium szulgai
1787,0.003719284,Asymptomatic,Mycobacterium szulgai
1787,0.002729258,Asymptomatic,Mycobacterium szulgai
1787,0.002721059,Asymptomatic,Mycobacterium szulgai
1787,0.002572347,Asymptomatic,Mycobacterium szulgai
1787,0.00219539,Asymptomatic,Mycobacterium szulgai
1787,0.002193953,Asymptomatic,Mycobacterium szulgai
1765,0.027483774,Asymptomatic,Mycobacterium tuberculosis
1765,0.025993751,Asymptomatic,Mycobacterium tuberculosis
1765,0.025685551,Asymptomatic,Mycobacterium tuberculosis
1765,0.02500812,Asymptomatic,Mycobacterium tuberculosis
1765,0.024633124,Asymptomatic,Mycobacterium tuberculosis
1765,0.02455209,Asymptomatic,Mycobacterium tuberculosis
1765,0.023396825,Asymptomatic,Mycobacterium tuberculosis
1765,0.022931309,Asymptomatic,Mycobacterium tuberculosis
1765,0.022164758,Asymptomatic,Mycobacterium tuberculosis
1765,0.020538567,Asymptomatic,Mycobacterium tuberculosis
1765,0.020514391,Asymptomatic,Mycobacterium tuberculosis
1765,0.020501139,Asymptomatic,Mycobacterium tuberculosis
1765,0.020494393,Asymptomatic,Mycobacterium tuberculosis
1765,0.020337013,Asymptomatic,Mycobacterium tuberculosis
1765,0.019268532,Asymptomatic,Mycobacterium tuberculosis
1765,0.018447837,Asymptomatic,Mycobacterium tuberculosis
1765,0.017818806,Asymptomatic,Mycobacterium tuberculosis
1765,0.017256637,Asymptomatic,Mycobacterium tuberculosis
1765,0.017003188,Asymptomatic,Mycobacterium tuberculosis
1765,0.016453736,Asymptomatic,Mycobacterium tuberculosis
1765,0.014270033,Asymptomatic,Mycobacterium tuberculosis
1765,0.014254166,Asymptomatic,Mycobacterium tuberculosis
1765,0.011889036,Asymptomatic,Mycobacterium tuberculosis
1765,0.011462882,Asymptomatic,Mycobacterium tuberculosis
1765,0.010932476,Asymptomatic,Mycobacterium tuberculosis
1809,0.005488474,Asymptomatic,Mycobacterium ulcerans
1809,0.00530856,Asymptomatic,Mycobacterium ulcerans
1809,0.005089059,Asymptomatic,Mycobacterium ulcerans
1809,0.004556501,Asymptomatic,Mycobacterium ulcerans
1809,0.00422215,Asymptomatic,Mycobacterium ulcerans
1809,0.004015258,Asymptomatic,Mycobacterium ulcerans
1809,0.003275109,Asymptomatic,Mycobacterium ulcerans
1809,0.003220266,Asymptomatic,Mycobacterium ulcerans
1809,0.003188098,Asymptomatic,Mycobacterium ulcerans
1809,0.003061849,Asymptomatic,Mycobacterium ulcerans
1809,0.002839881,Asymptomatic,Mycobacterium ulcerans
1809,0.002675503,Asymptomatic,Mycobacterium ulcerans
1809,0.002516454,Asymptomatic,Mycobacterium ulcerans
1809,0.002339613,Asymptomatic,Mycobacterium ulcerans
1809,0.002277904,Asymptomatic,Mycobacterium ulcerans
1809,0.002096436,Asymptomatic,Mycobacterium ulcerans
1809,0.00198528,Asymptomatic,Mycobacterium ulcerans
1809,0.001981506,Asymptomatic,Mycobacterium ulcerans
1809,0.001461065,Asymptomatic,Mycobacterium ulcerans
1809,0.001446945,Asymptomatic,Mycobacterium ulcerans
1809,0.001436413,Asymptomatic,Mycobacterium ulcerans
1809,0.001369238,Asymptomatic,Mycobacterium ulcerans
1809,0.001329578,Asymptomatic,Mycobacterium ulcerans
1809,0.000878452,Asymptomatic,Mycobacterium ulcerans
1809,0.000460914,Asymptomatic,Mycobacterium ulcerans
1789,0.007042254,Asymptomatic,Mycobacterium xenopi
1789,0.006833713,Asymptomatic,Mycobacterium xenopi
1789,0.005944518,Asymptomatic,Mycobacterium xenopi
1789,0.005771567,Asymptomatic,Mycobacterium xenopi
1789,0.00536711,Asymptomatic,Mycobacterium xenopi
1789,0.005191375,Asymptomatic,Mycobacterium xenopi
1789,0.005089059,Asymptomatic,Mycobacterium xenopi
1789,0.005034102,Asymptomatic,Mycobacterium xenopi
1789,0.004976775,Asymptomatic,Mycobacterium xenopi
1789,0.004716981,Asymptomatic,Mycobacterium xenopi
1789,0.004663721,Asymptomatic,Mycobacterium xenopi
1789,0.004564126,Asymptomatic,Mycobacterium xenopi
1789,0.004390779,Asymptomatic,Mycobacterium xenopi
1789,0.004268768,Asymptomatic,Mycobacterium xenopi
1789,0.004250797,Asymptomatic,Mycobacterium xenopi
1789,0.003873717,Asymptomatic,Mycobacterium xenopi
1789,0.003711894,Asymptomatic,Mycobacterium xenopi
1789,0.00362135,Asymptomatic,Mycobacterium xenopi
1789,0.003613732,Asymptomatic,Mycobacterium xenopi
1789,0.003290747,Asymptomatic,Mycobacterium xenopi
1789,0.002975427,Asymptomatic,Mycobacterium xenopi
1789,0.002729258,Asymptomatic,Mycobacterium xenopi
1789,0.002699634,Asymptomatic,Mycobacterium xenopi
1789,0.002290997,Asymptomatic,Mycobacterium xenopi
1789,0.00204646,Asymptomatic,Mycobacterium xenopi
2104,0.000708466,Asymptomatic,Mycoplasma pneumoniae
2104,0.000545852,Asymptomatic,Mycoplasma pneumoniae
2104,0.000331785,Asymptomatic,Mycoplasma pneumoniae
2104,0.000324781,Asymptomatic,Mycoplasma pneumoniae
2104,0.000216976,Asymptomatic,Mycoplasma pneumoniae
2104,0.000164183,Asymptomatic,Mycoplasma pneumoniae
2104,9.82E-05,Asymptomatic,Mycoplasma pneumoniae
2104,9.68E-05,Asymptomatic,Mycoplasma pneumoniae
2104,4.02E-05,Asymptomatic,Mycoplasma pneumoniae
2104,2.57E-05,Asymptomatic,Mycoplasma pneumoniae
2104,2.14E-05,Asymptomatic,Mycoplasma pneumoniae
2104,1.84E-05,Asymptomatic,Mycoplasma pneumoniae
2104,1.75E-05,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
2104,0,Asymptomatic,Mycoplasma pneumoniae
1790,0.001538873,Control,Mycobacterium asiaticum
1790,0.001130774,Control,Mycobacterium asiaticum
1790,0.000884825,Control,Mycobacterium asiaticum
1790,0.000660502,Control,Mycobacterium asiaticum
1790,0.000635728,Control,Mycobacterium asiaticum
1790,0.000437664,Control,Mycobacterium asiaticum
1790,0.000366278,Control,Mycobacterium asiaticum
1790,0.000353957,Control,Mycobacterium asiaticum
1790,0.0003416,Control,Mycobacterium asiaticum
1790,0.0002753,Control,Mycobacterium asiaticum
1790,0.000195631,Control,Mycobacterium asiaticum
1790,0,Control,Mycobacterium asiaticum
1764,0.007359829,Control,Mycobacterium avium
1764,0.006076618,Control,Mycobacterium avium
1764,0.004530653,Control,Mycobacterium avium
1764,0.004395336,Control,Mycobacterium avium
1764,0.003698781,Control,Mycobacterium avium
1764,0.003675016,Control,Mycobacterium avium
1764,0.002064592,Control,Mycobacterium avium
1764,0.00150304,Control,Mycobacterium avium
1764,0.000847734,Control,Mycobacterium avium
1764,0.000812805,Control,Mycobacterium avium
1764,0.00033036,Control,Mycobacterium avium
1764,0,Control,Mycobacterium avium
1767,0.00408136,Control,Mycobacterium intracellulare
1767,0.003963012,Control,Mycobacterium intracellulare
1767,0.003174409,Control,Mycobacterium intracellulare
1767,0.002548492,Control,Mycobacterium intracellulare
1767,0.00150263,Control,Mycobacterium intracellulare
1767,0.001474709,Control,Mycobacterium intracellulare
1767,0.001470006,Control,Mycobacterium intracellulare
1767,0.00061488,Control,Mycobacterium intracellulare
1767,0.000562711,Control,Mycobacterium intracellulare
1767,0.000521682,Control,Mycobacterium intracellulare
1767,0.00016518,Control,Mycobacterium intracellulare
1767,0,Control,Mycobacterium intracellulare
1778,0.001873411,Control,Mycobacterium gordonae
1778,0.001639622,Control,Mycobacterium gordonae
1778,0.001274246,Control,Mycobacterium gordonae
1778,0.001122853,Control,Mycobacterium gordonae
1778,0.000924695,Control,Mycobacterium gordonae
1778,0.000884825,Control,Mycobacterium gordonae
1778,0.000750281,Control,Mycobacterium gordonae
1778,0.000610463,Control,Mycobacterium gordonae
1778,0.000521682,Control,Mycobacterium gordonae
1778,0.00047824,Control,Mycobacterium gordonae
1778,0.00011012,Control,Mycobacterium gordonae
1778,0,Control,Mycobacterium gordonae
1768,0.004148267,Control,Mycobacterium kansasii
1768,0.00330251,Control,Mycobacterium kansasii
1768,0.002014529,Control,Mycobacterium kansasii
1768,0.001911369,Control,Mycobacterium kansasii
1768,0.001560423,Control,Mycobacterium kansasii
1768,0.001470006,Control,Mycobacterium kansasii
1768,0.001327238,Control,Mycobacterium kansasii
1768,0.00088816,Control,Mycobacterium kansasii
1768,0.000391262,Control,Mycobacterium kansasii
1768,0.000250094,Control,Mycobacterium kansasii
1768,0.00016518,Control,Mycobacterium kansasii
1768,0,Control,Mycobacterium kansasii
1769,0.003010839,Control,Mycobacterium leprae
1769,0.002319761,Control,Mycobacterium leprae
1769,0.002113606,Control,Mycobacterium leprae
1769,0.002052952,Control,Mycobacterium leprae
1769,0.001964977,Control,Mycobacterium leprae
1769,0.001583084,Control,Mycobacterium leprae
1769,0.001106032,Control,Mycobacterium leprae
1769,0.00061488,Control,Mycobacterium leprae
1769,0.000437664,Control,Mycobacterium leprae
1769,0.000391262,Control,Mycobacterium leprae
1769,0.00038542,Control,Mycobacterium leprae
1769,0.000123916,Control,Mycobacterium leprae
1784,0.001471966,Control,Mycobacterium simiae
1784,0.001061872,Control,Mycobacterium simiae
1784,0.001017697,Control,Mycobacterium simiae
1784,0.000924703,Control,Mycobacterium simiae
1784,0.000809108,Control,Mycobacterium simiae
1784,0.000737354,Control,Mycobacterium simiae
1784,0.000549417,Control,Mycobacterium simiae
1784,0.000391262,Control,Mycobacterium simiae
1784,0.000375141,Control,Mycobacterium simiae
1784,0.0003416,Control,Mycobacterium simiae
1784,0.00011012,Control,Mycobacterium simiae
1784,0,Control,Mycobacterium simiae
1787,0.000904619,Control,Mycobacterium szulgai
1787,0.000869798,Control,Mycobacterium szulgai
1787,0.000858653,Control,Mycobacterium szulgai
1787,0.000778706,Control,Mycobacterium szulgai
1787,0.000751315,Control,Mycobacterium szulgai
1787,0.000732556,Control,Mycobacterium szulgai
1787,0.000500188,Control,Mycobacterium szulgai
1787,0.00033036,Control,Mycobacterium szulgai
1787,0.000294942,Control,Mycobacterium szulgai
1787,0.000260841,Control,Mycobacterium szulgai
1787,6.83E-05,Control,Mycobacterium szulgai
1787,0,Control,Mycobacterium szulgai
1765,0.006837189,Control,Mycobacterium tuberculosis
1765,0.006690753,Control,Mycobacterium tuberculosis
1765,0.00653897,Control,Mycobacterium tuberculosis
1765,0.00488461,Control,Mycobacterium tuberculosis
1765,0.003929954,Control,Mycobacterium tuberculosis
1765,0.003788093,Control,Mycobacterium tuberculosis
1765,0.00258074,Control,Mycobacterium tuberculosis
1765,0.001500563,Control,Mycobacterium tuberculosis
1765,0.00129808,Control,Mycobacterium tuberculosis
1765,0.001043365,Control,Mycobacterium tuberculosis
1765,0.00066072,Control,Mycobacterium tuberculosis
1765,0.000123916,Control,Mycobacterium tuberculosis
1809,0.000904619,Control,Mycobacterium ulcerans
1809,0.000778706,Control,Mycobacterium ulcerans
1809,0.000693521,Control,Mycobacterium ulcerans
1809,0.000468353,Control,Mycobacterium ulcerans
1809,0.000391262,Control,Mycobacterium ulcerans
